Substrate,ECNumber,Organism_ID_sabio,kcat
"1-Chloro-2,4-dinitrobenzene",2.5.1.18,36329,0.105
"1-Chloro-2,4-dinitrobenzene",2.5.1.18,559292,13.1
1-Chlorobutane,3.8.1.5,452662,1.11
1-Chlorobutane,3.8.1.5,861109,1.11
1-Chlorohexane,3.8.1.5,452662,2.6
1-Chlorohexane,3.8.1.5,861109,2.6
1-Chloropropane,3.8.1.5,1829,0.48
1-Decanol,1.1.1.1,9606,0.6666667
1-Deoxy-D-xylulose 5-phosphate,1.1.1.267,83333,9833.333
"1-Fluoro-2,4-dinitrobenzene",2.5.1.18,7168,85.1
1-Hexanol,2.4.1.85,4558,0.06
1-Hexanol,1.1.1.1,7225,4.0
1-Hexanol,1.1.1.1,9544,1.6
1-Hexanol,1.1.1.1,9606,5.166667
1-Hexanol,1.1.1.1,9796,3.8
1-Hexanol,1.1.1.1,10090,30.83333
1-Hexanol,1.1.1.2,83333,0.05
1-Indanole,1.3.1.20,9606,0.1633333
1-Kestose,3.2.1.26,3702,21.0
1-Methyl-D-tryptophan,1.13.11.52,9606,0.095
1-Myristoylglycerol 3-phosphate,3.1.3.76,9606,0.354
1-Naphthaldehyde,1.1.1.21,9606,2.6
1-Naphthylacetic acid,3.1.2.12,83333,5.09
1-Naphthylbutanoic acid,3.1.1.73,105351,2.33
1-Nitro-3-guanidinobenzene,3.5.3.1,10116,0.0015
1-Nitrobutane,1.7.3.1,5507,6.1
1-Nitrobutane,1.13.12.16,367110,6.2
1-Nitrohexane,1.13.12.16,367110,1.7
1-Nitropentane,1.13.12.16,367110,4.3
1-Nitropropane,1.13.12.16,367110,1300.0
1-Nonanol,1.1.1.1,9606,0.8833333
1-O-4-Hydroxybenzoyl-beta-D-glucose,2.4.1.300,85439,0.036
1-O-Feruloyl-beta-D-glucose,2.4.1.299,3570,0.39
1-O-Vanilloyl-beta-D-glucose,2.4.1.299,3570,0.07
1-O-Vanilloyl-beta-D-glucose,2.4.1.300,85439,0.17
1-Octanal,1.2.99.7,879,1.2
1-Octanal,1.1.1.1,9606,3.333333
1-Octanal,1.2.1.3,9606,15.0
1-Octanal,1.2.1.5,10090,4.8
1-Octanal,1.1.1.1,10116,390.0
1-Octanal,1.1.1.1,93934,17.0
1-Octanal,1.2.1.3,224308,0.97
1-Octanal,1.1.1.2,233413,4.9
1-Octanal,1.1.1.2,246196,37.8
1-Octanol,1.1.1.284,7227,21.66667
1-Octanol,1.1.1.1,7740,12.33333
1-Octanol,1.1.1.1,8801,0.2666667
1-Octanol,1.1.1.1,9606,0.04
1-Octanol,1.1.1.284,9606,7.333333
1-Octanol,1.1.1.1,9796,4.333333
1-Octanol,1.1.1.1,10116,5.0
1-Octanol,1.1.1.2,83333,0.0075
1-Octanol,1.1.1.1,93934,8.883333
1-Oleoyl-lysophosphatidate,3.1.3.76,9606,0.177
1-Palmitoyl-2-(5-oxovaleroyl)-sn-glycero-3-phosphatidylcholine,1.1.1.21,9606,0.6033333
1-Palmitoylglycerol 3-phosphate,3.1.3.76,9606,0.167
1-Pentanol,1.1.1.1,7225,1.8
1-Pentanol,1.1.1.284,7227,14.0
1-Pentanol,1.1.1.1,8801,0.3666667
1-Pentanol,1.1.1.1,9544,2.2
1-Pentanol,1.1.1.1,9606,8.0
1-Pentanol,1.1.1.1,9796,4.3
1-Pentanol,1.1.1.1,10116,48.83333
1-Pentanol,1.1.1.2,83333,0.003
1-Pentanol,1.1.1.1,93934,2.916667
"1-Phenyl-1,2-propanedione",1.1.1.10,9606,0.78
"1-Phenyl-1,2-propanedione",1.1.1.10,10036,39.0
"1-Phenyl-1,2-propanedione",1.1.1.10,10090,21.0
"1-Phenyl-1,2-propanedione",1.1.1.10,10116,45.0
"1-Phenyl-1,2-propanedione",1.1.1.10,10141,23.0
1-Phenylethanol,1.1.1.1,7225,1.1
1-Phenylisatin,1.1.1.209,10090,0.5833333
"1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate",2.7.1.153,9606,7.5
1-Pyrroline-2-carboxylate,1.5.1.1,192,615.0
1-Pyrroline-2-carboxylate,1.5.1.49,167879,124.5
1-Pyrroline-2-carboxylate,1.5.1.49,176299,32.0
1-Pyrroline-2-carboxylate,1.5.1.21,208964,41.66667
1-Pyrroline-2-carboxylate,1.5.1.49,208964,1.6
1-Pyrroline-2-carboxylate,1.5.1.49,220664,20.0
1-Pyrroline-2-carboxylate,1.5.1.49,222523,15.0
1-Pyrroline-2-carboxylate,1.5.1.49,226900,19.0
1-Pyrroline-2-carboxylate,1.5.1.49,246200,130.0
1-Pyrroline-2-carboxylate,1.5.1.49,271848,203.0
1-Pyrroline-2-carboxylate,1.5.1.49,272943,66.0
1-Pyrroline-2-carboxylate,1.5.1.49,281309,11.0
1-Pyrroline-2-carboxylate,1.5.1.49,288681,5.8
1-Pyrroline-2-carboxylate,1.5.1.49,318586,260.0
1-Pyrroline-2-carboxylate,1.5.1.49,320372,7.8
1-Pyrroline-2-carboxylate,1.5.1.49,323850,6.7
1-Pyrroline-2-carboxylate,1.5.1.49,339670,106.0
1-Pyrroline-2-carboxylate,1.5.1.49,375451,15.0
1-Pyrroline-2-carboxylate,1.5.1.49,395019,33.0
1-Tetradecanol,1.1.1.1,9606,0.01666667
1-beta-D-Arabinofuranosylcytosine 5'-monophosphate,2.7.4.14,9606,150.0
"10-Formyl-5,8-dideazafolate",2.1.2.2,83333,40.0
10-Formylfolate,2.1.2.2,83333,0.016
10-Formyltetrahydrofolate,2.1.2.2,83333,20.7
11-Deoxycorticosterone,1.1.1.209,10090,0.01666667
11-cis-Retinal,1.1.1.1,9606,0.3
11-cis-Retinal,1.1.1.1,10090,0.5666667
11-cis-Retinol,1.1.1.1,9606,3.166667
11-cis-Retinol,1.1.1.1,10090,3.75
"11beta,21-Dihydroxy-5beta-pregnane-3,20-dione",1.1.1.209,10090,0.1833333
12(13)-EpOME,3.3.2.10,6239,0.11
12-Hydroxydodecanoic acid,1.1.1.1,3702,5.583333
12-Hydroxydodecanoic acid,1.1.1.1,7227,14.0
12-Hydroxydodecanoic acid,1.1.1.1,7740,11.33333
